ModelFile,Condition,ImageID,Reduction,Peak_Y,Peak_Value,Lowest_Y,Peak_Region
Baseline_AlexNet_ObjectBased.pth,E,13,4,146,49.945755,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,14,4,163,58.212616,0,Background
Baseline_AlexNet_ObjectBased.pth,E,15,4,146,52.63629,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,16,4,129,48.966698,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,17,4,180,62.433926,0,Mouth
Baseline_AlexNet_ObjectBased.pth,E,18,4,146,64.39386,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,19,4,129,50.330723,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,20,4,129,47.085648,0,Nose
Baseline_AlexNet_ObjectBased.pth,E,21,4,43,65.84435,0,Background
Baseline_AlexNet_ObjectBased.pth,Full,1,4,198,63.651646,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,2,4,198,94.383545,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,3,4,198,90.93333,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,4,4,198,86.744125,77,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,5,4,198,85.13438,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,6,4,197,104.348785,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,7,4,197,90.19564,0,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,8,4,197,104.18197,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,9,4,198,91.85896,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,10,4,197,97.27617,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,11,4,197,84.73668,0,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,12,4,197,73.93474,0,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,13,4,197,75.86636,0,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,14,4,197,82.188194,0,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,15,4,197,98.211296,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,16,4,198,82.959305,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,17,4,197,101.09833,25,Mouth
Baseline_AlexNet_ObjectBased.pth,Full,18,4,146,80.85426,25,Nose
Baseline_AlexNet_ObjectBased.pth,Full,19,4,146,88.14334,25,Nose
Baseline_AlexNet_ObjectBased.pth,Full,20,4,146,104.040215,25,Nose
Baseline_AlexNet_ObjectBased.pth,Full,21,4,129,81.12285,25,Nose
Baseline_AlexNet_ObjectBased.pth,M,1,4,94,102.7426,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,2,4,94,60.050137,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,3,4,94,50.461422,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,4,4,94,52.576736,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,5,4,94,72.03487,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,6,4,94,88.27377,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,7,4,43,61.14144,25,Background
Baseline_AlexNet_ObjectBased.pth,M,8,4,60,69.23931,25,Background
Baseline_AlexNet_ObjectBased.pth,M,9,4,111,34.536522,0,Background
Baseline_AlexNet_ObjectBased.pth,M,10,4,95,72.510765,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,11,4,111,44.22314,0,Background
Baseline_AlexNet_ObjectBased.pth,M,12,4,95,55.666733,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,13,4,94,100.27738,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,14,4,95,44.41336,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,15,4,95,72.680824,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,16,4,111,58.43251,0,Background
Baseline_AlexNet_ObjectBased.pth,M,17,4,94,99.911896,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,18,4,94,112.330124,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,19,4,95,117.82291,0,Eyes
Baseline_AlexNet_ObjectBased.pth,M,20,4,111,113.36609,0,Background
Baseline_AlexNet_ObjectBased.pth,M,21,4,111,128.89508,0,Background
Baseline_AlexNet_ObjectBased.pth,N,1,4,77,87.84851,25,Eyes
Baseline_AlexNet_ObjectBased.pth,N,2,4,77,79.79907,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,3,4,77,82.80417,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,4,4,77,86.06697,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,5,4,77,88.16293,0,Eyes
Baseline_AlexNet_ObjectBased.pth,N,6,4,197,57.89461,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,7,4,197,79.17526,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,8,4,197,98.411194,25,Mouth
Baseline_AlexNet_ObjectBased.pth,N,9,4,197,86.89801,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,10,4,197,85.28345,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,11,4,197,85.65796,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,12,4,197,101.713486,25,Mouth
Baseline_AlexNet_ObjectBased.pth,N,13,4,197,92.30611,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,14,4,197,92.63281,0,Mouth
Baseline_AlexNet_ObjectBased.pth,N,15,4,197,79.09377,0,Mouth
