ModelFile,Arch,Location,BaseType,Reduction,Condition,ImageID,Eyes_PoS,Nose_PoS,Mouth_PoS
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,15,0.399848223,0.184376553,0.001306737
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,16,0.398426473,0.08070232,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,17,0.316376299,0.020153338,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,18,0.327087313,0.212582871,0.013479622
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,19,0.295938492,0.106639303,0.006741949
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,20,0.21908015,0.348800063,0.05475514
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,Full,21,0.196461409,0.279860348,0.062808104
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,1,0.391442776,0.004045382,0
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,2,0.370970815,0.031790216,0.004530369
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,3,0.391577691,0.008660438,0.011126929
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,4,0.433142185,0.013934045,0.007335351
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,5,0.441581517,0.004006066,0.008619348
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,6,0.451071471,0.008710383,0.015292101
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,7,0.206858292,0.104941159,0.100256793
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,8,0.53861165,0.019585636,0.032228783
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,9,0.471566647,0.03359637,0.043884825
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,10,0.55715549,0.007325001,0.015459532
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,11,0.578645289,0.025233598,0.004066951
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,12,0.18833974,0.090053126,0.114120156
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,13,0.199886695,0.08822944,0.105349332
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,14,0.271224976,0.11646805,0.080040447
SE-Conv-L1_ObjectBased_R2.pth,AlexNet,1,ObjectBased,2,M,15,0.279139876,0.091723509,0.094439551
