ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,4,N,18,0.100082,0.159039,0.034705,0.072394,0.012520,0.023870,0.005209,0.010865,0.117741,0.089323,0.019492,0.040659,0.953744,0.070321,0.015345,0.032010
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,8,E,21,0.134268,0.054614,0.011918,0.024860,0.179712,0.061590,0.013440,0.028035,0.048118,0.027110,0.005916,0.012340,0.514460,0.089812,0.019599,0.040882
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,8,Full,21,0.069893,0.099209,0.021649,0.045159,0.489870,0.188201,0.041069,0.085668,0.055258,0.051339,0.011203,0.023369,0.217752,0.248837,0.054301,0.113269
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,8,M,21,0.005991,0.012531,0.002735,0.005704,0.022971,0.022519,0.004914,0.010250,0.201020,0.165634,0.036144,0.075396,0.823314,0.231214,0.050455,0.105247
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,8,N,21,0.047292,0.039314,0.008579,0.017896,0.011679,0.007913,0.001727,0.003602,0.412251,0.060658,0.013237,0.027611,0.975056,0.015569,0.003397,0.007087
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,16,E,11,0.017166,0.048203,0.010519,0.021942,0.260722,0.284013,0.061977,0.129281,0.012716,0.027477,0.005996,0.012507,0.123445,0.132558,0.028927,0.060340
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,16,Full,16,0.248449,0.225587,0.049227,0.102686,0.015153,0.026481,0.005779,0.012054,0.026041,0.044404,0.009690,0.020212,0.944145,0.093454,0.020393,0.042540
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,16,M,21,0.153791,0.119528,0.026083,0.054409,0.206828,0.152630,0.033307,0.069476,0.001434,0.002492,0.000544,0.001135,0.456953,0.200582,0.043771,0.091304
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,16,N,21,0.136731,0.089101,0.019443,0.040558,0.015281,0.026695,0.005825,0.012151,0.006083,0.015806,0.003449,0.007195,0.890406,0.171166,0.037351,0.077914
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,32,E,21,0.197525,0.097403,0.021255,0.044337,0.064637,0.045243,0.009873,0.020594,0.007167,0.015435,0.003368,0.007026,0.769976,0.109308,0.023853,0.049757
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,32,Full,21,0.643402,0.089843,0.019605,0.040896,0.000787,0.001997,0.000436,0.000909,0.000018,0.000037,0.000008,0.000017,0.998626,0.003588,0.000783,0.001633
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,32,M,21,0.635959,0.091186,0.019898,0.041508,0.042655,0.018533,0.004044,0.008436,0.001272,0.005737,0.001252,0.002612,0.935218,0.031380,0.006848,0.014284
SE-Conv-L1_ObjectBased,SE-Conv,ObjectBased,L1,32,N,21,0.247366,0.064782,0.014137,0.029489,0.213198,0.077016,0.016806,0.035057,0.032942,0.046385,0.010122,0.021114,0.566573,0.149871,0.032704,0.068220
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,2,E,21,0.013344,0.022411,0.004891,0.010202,0.101497,0.120070,0.026201,0.054655,0.374593,0.115493,0.025203,0.052572,0.811989,0.186729,0.040748,0.084998
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,2,Full,21,0.099652,0.078949,0.017228,0.035937,0.151064,0.092456,0.020175,0.042085,0.290027,0.200743,0.043806,0.091377,0.711624,0.165754,0.036170,0.075450
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,2,M,21,0.084854,0.103360,0.022555,0.047049,0.328375,0.168840,0.036844,0.076855,0.143536,0.068529,0.014954,0.031194,0.426090,0.266536,0.058163,0.121326
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,2,N,14,0.148237,0.206365,0.045033,0.093936,0.042146,0.064777,0.014135,0.029486,0.035491,0.054711,0.011939,0.024904,0.783729,0.206942,0.045159,0.094199
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,4,E,20,0.000676,0.001206,0.000263,0.000549,0.049207,0.055053,0.012013,0.025060,0.116420,0.079148,0.017271,0.036028,0.737480,0.249929,0.054539,0.113766
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,4,Full,21,0.022170,0.034907,0.007617,0.015890,0.090129,0.066096,0.014423,0.030086,0.382880,0.157096,0.034281,0.071509,0.812956,0.126843,0.027679,0.057738
SE-Conv-L2_FaceBased,SE-Conv,FaceBased,L2,4,M,21,0.233971,0.092029,0.020082,0.041891,0.075687,0.043849,0.009569,0.019960,0.069225,0.044129,0.009630,0.020087,0.797665,0.119934,0.026172,0.054593
