ModelGroup,SE_Type,BaseType,SE_Position_Label,Reduction,Condition,N,Eyes_Mean,Eyes_SD,Eyes_SEM,Eyes_CI95,Nose_Mean,Nose_SD,Nose_SEM,Nose_CI95,Mouth_Mean,Mouth_SD,Mouth_SEM,Mouth_CI95,DiagRatio_Mean,DiagRatio_SD,DiagRatio_SEM,DiagRatio_CI95
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,16,N,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220605,0.052308,0.011415,0.023811,1.000000,0.000000,0.000000,0.000000
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,32,E,21,0.025148,0.008184,0.001786,0.003725,0.096892,0.016363,0.003571,0.007448,0.069504,0.009906,0.002162,0.004509,0.495180,0.053262,0.011623,0.024245
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,32,Full,21,0.004973,0.003200,0.000698,0.001457,0.047011,0.020898,0.004560,0.009513,0.096550,0.019282,0.004208,0.008777,0.694465,0.105660,0.023057,0.048096
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,32,M,21,0.022768,0.004604,0.001005,0.002096,0.064626,0.010578,0.002308,0.004815,0.035089,0.007753,0.001692,0.003529,0.472934,0.048139,0.010505,0.021913
SE-FC-L2_FaceBased,SE-FC,FaceBased,FC-L2,32,N,21,0.115238,0.006593,0.001439,0.003001,0.019527,0.008114,0.001771,0.003693,0.104693,0.005749,0.001254,0.002617,0.918800,0.031914,0.006964,0.014527
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,2,E,21,0.040724,0.008327,0.001817,0.003791,0.038124,0.008170,0.001783,0.003719,0.108111,0.007925,0.001729,0.003607,0.797193,0.032432,0.007077,0.014763
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,2,Full,21,0.050156,0.002668,0.000582,0.001214,0.081801,0.004736,0.001034,0.002156,0.100071,0.006768,0.001477,0.003081,0.647263,0.021055,0.004595,0.009584
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,2,M,21,0.031578,0.009368,0.002044,0.004264,0.006382,0.003855,0.000841,0.001755,0.010070,0.004594,0.001002,0.002091,0.875459,0.063945,0.013954,0.029108
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,2,N,21,0.081568,0.006685,0.001459,0.003043,0.095739,0.005163,0.001127,0.002350,0.080328,0.008206,0.001791,0.003736,0.627313,0.032045,0.006993,0.014587
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,4,E,21,0.061741,0.013877,0.003028,0.006317,0.042421,0.029156,0.006362,0.013272,0.073735,0.008737,0.001907,0.003977,0.782633,0.108660,0.023711,0.049461
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,4,Full,21,0.038964,0.006408,0.001398,0.002917,0.050231,0.013054,0.002849,0.005942,0.076925,0.004243,0.000926,0.001931,0.701110,0.050965,0.011121,0.023199
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,4,M,21,0.051938,0.013747,0.003000,0.006258,0.051735,0.010815,0.002360,0.004923,0.121092,0.012923,0.002820,0.005882,0.771296,0.035046,0.007648,0.015953
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,4,N,21,0.018954,0.008725,0.001904,0.003972,0.072298,0.015846,0.003458,0.007213,0.072126,0.012625,0.002755,0.005747,0.556245,0.078029,0.017027,0.035518
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,8,E,21,0.027069,0.007886,0.001721,0.003590,0.139446,0.008043,0.001755,0.003661,0.011055,0.004347,0.000949,0.001979,0.212058,0.050691,0.011062,0.023074
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,8,Full,21,0.035965,0.007897,0.001723,0.003595,0.059449,0.007274,0.001587,0.003311,0.009503,0.003257,0.000711,0.001483,0.429835,0.049375,0.010774,0.022475
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,8,M,21,0.070294,0.008442,0.001842,0.003843,0.039485,0.004269,0.000932,0.001943,0.054118,0.003550,0.000775,0.001616,0.758341,0.028179,0.006149,0.012827
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,8,N,21,0.063956,0.004953,0.001081,0.002255,0.066787,0.006475,0.001413,0.002947,0.129016,0.010440,0.002278,0.004752,0.742884,0.024281,0.005298,0.011052
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,16,E,21,0.229811,0.016041,0.003500,0.007302,0.045027,0.010726,0.002341,0.004882,0.045719,0.010470,0.002285,0.004766,0.859971,0.030517,0.006659,0.013891
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,16,Full,21,0.057944,0.019194,0.004188,0.008737,0.027913,0.012710,0.002774,0.005786,0.033251,0.008475,0.001849,0.003858,0.779186,0.062729,0.013689,0.028554
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,16,M,21,0.068436,0.018290,0.003991,0.008325,0.039590,0.022341,0.004875,0.010169,0.237878,0.042217,0.009212,0.019217,0.884612,0.062505,0.013640,0.028452
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,16,N,21,0.113268,0.017068,0.003725,0.007769,0.096647,0.020277,0.004425,0.009230,0.121369,0.019140,0.004177,0.008712,0.707678,0.061241,0.013364,0.027877
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,32,E,21,0.077335,0.031872,0.006955,0.014508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,32,Full,2,0.000865,0.003964,0.000865,0.001804,0.000000,0.000000,0.000000,0.000000,0.006665,0.021122,0.004609,0.009614,1.000000,0.000000,0.000000,0.000000
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,32,M,6,0.000042,0.000192,0.000042,0.000087,0.000100,0.000183,0.000040,0.000083,0.001151,0.002110,0.000460,0.000960,0.922302,0.004854,0.001059,0.002209
SE-FC-L2_ObjectBased,SE-FC,ObjectBased,FC-L2,32,N,21,0.003182,0.003209,0.000700,0.001460,0.091800,0.035522,0.007752,0.016170,0.093115,0.034231,0.007470,0.015582,0.516792,0.160443,0.035012,0.073033
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,2,E,20,0.065672,0.076285,0.016647,0.034725,0.043968,0.028203,0.006154,0.012838,0.144681,0.088657,0.019347,0.040356,0.820026,0.111151,0.024255,0.050595
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,2,Full,21,0.175734,0.130064,0.028382,0.059204,0.184889,0.080065,0.017472,0.036445,0.101414,0.163233,0.035620,0.074303,0.577398,0.144140,0.031454,0.065612
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,2,M,21,0.140339,0.121159,0.026439,0.055151,0.025773,0.020734,0.004525,0.009438,0.048869,0.040885,0.008922,0.018611,0.847176,0.140925,0.030752,0.064148
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,2,N,21,0.565964,0.138528,0.030229,0.063057,0.011137,0.008486,0.001852,0.003863,0.015348,0.018824,0.004108,0.008569,0.979413,0.015885,0.003466,0.007231
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,4,E,21,0.027888,0.021524,0.004697,0.009798,0.011456,0.016145,0.003523,0.007349,0.071604,0.040919,0.008929,0.018626,0.884867,0.125136,0.027307,0.056961
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,4,Full,20,0.121966,0.166920,0.036425,0.075981,0.074099,0.080278,0.017518,0.036542,0.072754,0.137959,0.030105,0.062798,0.631012,0.286645,0.062551,0.130479
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,4,M,19,0.040567,0.063771,0.013916,0.029028,0.114742,0.073976,0.016143,0.033673,0.135989,0.076260,0.016641,0.034713,0.600911,0.175389,0.038273,0.079836
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,4,N,21,0.043706,0.040696,0.008881,0.018524,0.083921,0.033525,0.007316,0.015260,0.072508,0.016004,0.003492,0.007285,0.589927,0.061408,0.013400,0.027952
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,8,E,16,0.016299,0.021827,0.004763,0.009936,0.327232,0.268806,0.058658,0.122359,0.107357,0.163891,0.035764,0.074602,0.287083,0.285189,0.062233,0.129816
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,8,Full,14,0.270650,0.282736,0.061698,0.128700,0.131284,0.179509,0.039172,0.081711,0.016834,0.052571,0.011472,0.023930,0.647947,0.323076,0.070501,0.147062
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,8,M,21,0.480218,0.067921,0.014821,0.030917,0.045154,0.028726,0.006269,0.013076,0.002282,0.004518,0.000986,0.002056,0.912052,0.056790,0.012393,0.025851
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,8,N,21,0.009282,0.008540,0.001864,0.003888,0.155249,0.080956,0.017666,0.036851,0.117585,0.038708,0.008447,0.017619,0.468370,0.111044,0.024232,0.050547
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,16,E,16,0.027960,0.028049,0.006121,0.012768,0.030657,0.053799,0.011740,0.024489,0.035688,0.058752,0.012821,0.026744,0.634005,0.263346,0.057467,0.119874
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,16,Full,21,0.212614,0.219286,0.047852,0.099818,0.008528,0.017294,0.003774,0.007872,0.033297,0.068939,0.015044,0.031381,0.949509,0.142050,0.030998,0.064660
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,16,M,19,0.266359,0.179503,0.039171,0.081709,0.060511,0.099489,0.021710,0.045287,0.002878,0.004934,0.001077,0.002246,0.843680,0.213610,0.046614,0.097234
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,16,N,1,0.004540,0.020807,0.004540,0.009471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,32,E,21,0.068940,0.066030,0.014409,0.030056,0.081417,0.085116,0.018574,0.038744,0.132749,0.097854,0.021353,0.044543,0.718666,0.290037,0.063291,0.132023
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,32,Full,17,0.176121,0.216250,0.047190,0.098436,0.111015,0.105835,0.023095,0.048175,0.027736,0.064673,0.014113,0.029439,0.536240,0.352729,0.076972,0.160560
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,32,M,10,0.011134,0.029832,0.006510,0.013579,0.133725,0.295071,0.064390,0.134315,0.007407,0.033809,0.007378,0.015390,0.261836,0.297320,0.064881,0.135339
SE-FC-L3_FaceBased,SE-FC,FaceBased,FC-L3,32,N,21,0.036451,0.024410,0.005327,0.011111,0.076565,0.048202,0.010519,0.021941,0.041347,0.020395,0.004451,0.009284,0.525755,0.109701,0.023939,0.049935
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,2,E,19,0.395518,0.240224,0.052421,0.109349,0.000000,0.000000,0.000000,0.000000,0.000577,0.001051,0.000229,0.000478,1.000000,0.000000,0.000000,0.000000
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,2,Full,21,0.153629,0.061704,0.013465,0.028087,0.130632,0.057109,0.012462,0.025996,0.087375,0.038807,0.008468,0.017665,0.685167,0.111694,0.024374,0.050843
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,2,M,21,0.052566,0.038065,0.008306,0.017327,0.099093,0.036939,0.008061,0.016814,0.055417,0.015960,0.003483,0.007265,0.525966,0.077185,0.016843,0.035134
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,2,N,18,0.128108,0.212052,0.046273,0.096525,0.040953,0.062703,0.013683,0.028542,0.002164,0.003465,0.000756,0.001577,0.724821,0.333880,0.072859,0.151980
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,4,E,21,0.042420,0.032818,0.007161,0.014938,0.148884,0.125851,0.027463,0.057287,0.004997,0.013107,0.002860,0.005966,0.357636,0.286717,0.062567,0.130512
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,4,Full,21,0.155876,0.117032,0.025539,0.053272,0.183650,0.070548,0.015395,0.032113,0.098699,0.068143,0.014870,0.031018,0.583124,0.124492,0.027166,0.056668
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,4,M,21,0.096976,0.091815,0.020036,0.041794,0.086833,0.048335,0.010548,0.022002,0.121253,0.058304,0.012723,0.026540,0.723053,0.098223,0.021434,0.044711
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,4,N,21,0.176323,0.083211,0.018158,0.037877,0.044625,0.052875,0.011538,0.024068,0.230269,0.111799,0.024397,0.050891,0.889250,0.130936,0.028573,0.059601
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,8,E,20,0.064038,0.025853,0.005642,0.011768,0.060889,0.058953,0.012865,0.026835,0.000054,0.000094,0.000020,0.000043,0.589937,0.304035,0.066346,0.138395
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,8,Full,19,0.135316,0.167200,0.036486,0.076109,0.075567,0.111056,0.024234,0.050552,0.218279,0.224516,0.048993,0.102198,0.792546,0.294557,0.064278,0.134081
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,8,M,21,0.000772,0.001883,0.000411,0.000857,0.016300,0.070459,0.015375,0.032073,0.383687,0.126726,0.027654,0.057685,0.957996,0.177977,0.038838,0.081014
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,8,N,21,0.011549,0.025055,0.005467,0.011405,0.004495,0.002643,0.000577,0.001203,0.616072,0.141716,0.030925,0.064508,0.991880,0.006106,0.001332,0.002779
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,16,E,21,0.076324,0.055573,0.012127,0.025296,0.191280,0.091503,0.019967,0.041651,0.091665,0.073741,0.016092,0.033566,0.489308,0.133077,0.029040,0.060576
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,16,Full,21,0.064805,0.035494,0.007745,0.016157,0.075100,0.069036,0.015065,0.031425,0.116125,0.079244,0.017292,0.036071,0.773570,0.126361,0.027574,0.057519
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,16,M,21,0.018364,0.019185,0.004186,0.008733,0.037307,0.016161,0.003527,0.007357,0.058463,0.011230,0.002451,0.005112,0.679476,0.048405,0.010563,0.022034
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,16,N,21,0.021622,0.013246,0.002890,0.006029,0.035741,0.013188,0.002878,0.006003,0.039283,0.030861,0.006734,0.014048,0.619519,0.136604,0.029809,0.062181
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,32,E,21,0.016454,0.010152,0.002215,0.004621,0.068704,0.011939,0.002605,0.005434,0.216587,0.039212,0.008557,0.017849,0.771100,0.039112,0.008535,0.017804
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,32,Full,21,0.019019,0.014312,0.003123,0.006515,0.073776,0.035324,0.007708,0.016079,0.061771,0.031663,0.006910,0.014413,0.516432,0.175619,0.038323,0.079941
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,32,M,21,0.005286,0.006496,0.001417,0.002957,0.040868,0.019811,0.004323,0.009018,0.116072,0.031118,0.006790,0.014165,0.754517,0.078921,0.017222,0.035925
SE-FC-L3_ObjectBased,SE-FC,ObjectBased,FC-L3,32,N,21,0.005896,0.003125,0.000682,0.001422,0.044685,0.014149,0.003088,0.006441,0.055081,0.012818,0.002797,0.005835,0.582787,0.073635,0.016068,0.033518
